cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.006,6,False,736,34,34,34,0,0,2,-861.1511446781639,13026,"[10.0, -9.75, 0]",142.08775329589844,0.0,123.62664031982422,1653445813076812544,
0,0.006,6,False,335,35,35,35,0,0,2,-461.8066062899925,13361,"[-11.25, -11.25, 0]",83.54129028320312,0.0,60.20228576660156,1653445874574324480,
0,0.006,6,False,750,36,36,36,0,0,2,-849.5956815630595,14111,"[-7.75, 10.0, 0]",147.2186279296875,0.0,130.00477600097656,1653446005806752256,
0,0.006,6,False,149,37,37,37,0,0,2,-274.18687217722123,14260,"[-9.75, 7.0, 0]",42.790321350097656,0.0,30.702655792236328,1653446037905561344,
0,0.006,6,False,290,38,38,38,0,0,2,-411.0850088962784,14550,"[-8.75, -10.75, 0]",65.48902893066406,0.0,54.3791618347168,1653446093477703168,
0,0.006,6,False,173,39,39,39,0,0,2,-286.802579004437,14723,"[9.0, 9.5, 0]",41.21945571899414,0.0,35.1817512512207,1653446129891273216,
0,0.007,7,True,69,40,40,40,0,0,2,942.9409417434797,14792,"[11.0, 7.0, 0]",22.726911544799805,0.0,17.47237205505371,1653446148588691456,
0,0.007,7,False,262,41,41,41,0,0,2,-378.2880788017924,15054,"[-9.25, 10.0, 0]",59.86313247680664,0.0,50.566078186035156,1653446200380866304,
0,0.007,7,False,750,42,42,42,0,0,2,-859.4655687028801,15804,"[8.0, 9.5, 0]",159.32154846191406,0.0,134.921875,1653446336528323328,
0,0.007,7,False,111,43,43,43,0,0,2,-232.44862780506395,15915,"[-10.25, 10.5, 0]",36.48885726928711,0.0,25.3475399017334,1653446363263833088,
0,0.008,8,True,220,44,44,44,0,0,2,794.4400781485801,16135,"[-10.75, -11.25, 0]",57.65458297729492,0.0,44.58995056152344,1653446409055219200,
0,0.008,8,False,332,45,45,45,0,0,2,-442.4793530155046,16467,"[-8.25, 11.0, 0]",80.59095001220703,0.0,64.52237701416016,1653446474873344000,
0,0.008,8,False,266,46,46,46,0,0,2,-370.2042328075128,16733,"[11.0, 8.0, 0]",71.44950866699219,0.0,53.46113967895508,1653446529611926272,
0,0.009,9,True,145,47,47,47,0,0,2,867.4908762658273,16878,"[-7.25, 11.0, 0]",35.9754524230957,0.0,31.821678161621094,1653446562718504448,
0,0.009,9,False,542,48,48,48,0,0,2,-642.8948888183058,17420,"[9.0, 9.0, 0]",128.0957794189453,0.0,104.11421966552734,1653446668364044544,
0,0.009,9,False,750,49,49,49,0,0,2,-870.9808242792601,18170,"[-10.25, -7.25, 0]",190.6842041015625,0.0,149.9582061767578,1653446819681595136,
0,0.009,9,False,144,50,50,50,0,0,2,-261.81758122862175,18314,"[-7.25, -7.75, 0]",40.485225677490234,0.0,32.766700744628906,1653446853981833984,
0,0.009,9,False,304,51,51,51,0,0,2,-434.9779474140236,18618,"[-9.25, 8.5, 0]",73.81592559814453,0.0,63.28034973144531,1653446918501994240,
0,0.01,10,True,99,52,52,52,0,0,2,911.9935543883979,18717,"[-10.25, -9.25, 0]",25.48811149597168,0.0,24.675525665283203,1653446944463788800,
0,0.011,11,True,129,53,53,53,0,0,2,883.0716319932644,18846,"[-8.75, -9.75, 0]",37.8336181640625,0.0,30.65765380859375,1653446976440359424,
0,0.012,12,True,238,54,54,54,0,0,2,777.8096071933455,19084,"[7.0, 7.0, 0]",56.43982696533203,0.0,52.207115173339844,1653447030019450368,
0,0.012,12,False,250,55,55,55,0,0,2,-387.3999264885737,19334,"[11.0, -11.25, 0]",67.00980377197266,0.0,54.7061653137207,1653447086126409984,
0,0.012,12,False,750,56,56,56,0,0,2,-855.4848203790302,20084,"[7.5, 11.0, 0]",188.3375244140625,0.0,156.27932739257812,1653447243727120384,
0,0.013,13,True,118,57,57,57,0,0,2,893.8208692115023,20202,"[-10.25, 10.5, 0]",34.475345611572266,0.0,29.922637939453125,1653447275233390336,
0,0.013,13,False,197,58,58,58,0,0,2,-312.9618700120533,20399,"[9.5, 9.0, 0]",54.94358825683594,0.0,45.6369743347168,1653447322225849856,
0,0.013,13,False,340,59,59,59,0,0,2,-461.00746864229524,20739,"[-10.75, 10.0, 0]",100.7842025756836,0.0,75.96762084960938,1653447399521635328,
0,0.013,13,False,647,60,60,60,0,0,2,-748.2080240647898,21386,"[-9.25, -10.75, 0]",150.1372528076172,0.0,141.42601013183594,1653447542370294272,
0,0.014,14,True,54,61,61,61,0,0,2,958.3013832501671,21440,"[7.0, -11.25, 0]",25.60625457763672,0.0,17.55637550354004,1653447561490669056,
0,0.014,14,False,115,62,62,62,0,0,2,-220.91361769245077,21555,"[8.5, 7.0, 0]",37.1792106628418,0.0,30.324647903442383,1653447593104772096,
0,0.015,15,True,203,63,63,63,0,0,2,807.148859518534,21758,"[10.0, 10.0, 0]",72.49080657958984,0.0,49.3420524597168,1653447643739273216,
0,0.015,15,False,287,64,64,64,0,0,2,-409.50248183758606,22045,"[10.0, -8.75, 0]",81.77008819580078,0.0,69.11547088623047,1653447714248255744,
0,0.015,15,False,602,65,65,65,0,0,2,-721.7326723926177,22647,"[-9.25, 8.0, 0]",166.62989807128906,0.0,139.29296875,1653447854941132032,
0,0.015,15,False,417,66,66,66,0,0,2,-516.9136780665365,23064,"[10.0, -7.25, 0]",129.83006286621094,0.0,102.71919250488281,1653447959179694336,
0,0.015,15,False,188,67,67,67,0,0,2,-310.67758264103594,23252,"[-7.25, 8.0, 0]",59.709510803222656,0.0,49.270050048828125,1653448009943622912,
0,0.015,15,False,543,68,68,68,0,0,2,-664.2844987881213,23795,"[10.0, -10.25, 0]",154.1251220703125,0.0,133.65585327148438,1653448144957559040,
0,0.015,15,False,647,69,69,69,0,0,2,-765.7714435702661,24442,"[10.0, 8.5, 0]",181.59068298339844,0.0,161.5624542236328,1653448308072302592,
