cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.004,4,True,180,34,34,34,0,0,1,830.4337065862379,12043,"[-10.25, -9.75, 0]",38.0077018737793,0.0,29.661632537841797,1652802344194419968,
0,0.004,4,False,189,35,35,35,0,0,1,-316.3081555007565,12232,"[-8.75, -11.25, 0]",42.0526237487793,0.0,31.05366325378418,1652802376075271936,
0,0.004,4,False,174,36,36,36,0,0,1,-275.69141300417925,12406,"[10.0, 9.0, 0]",35.831607818603516,0.0,28.698612213134766,1652802405562802944,
0,0.004,4,False,224,37,37,37,0,0,1,-337.64489529280354,12630,"[-9.25, -9.75, 0]",52.736083984375,0.0,36.153770446777344,1652802442505911552,
0,0.004,4,False,750,38,38,38,0,0,1,-859.7259160389966,13380,"[-9.75, -10.25, 0]",165.63839721679688,0.0,111.42837524414062,1652802554713689856,
0,0.004,4,False,750,39,39,39,0,0,1,-849.6625994538889,14130,"[-9.75, 9.5, 0]",134.1842803955078,0.0,109.45133209228516,1652802665075453440,
0,0.004,4,False,173,40,40,40,0,0,1,-299.7607900441417,14303,"[-7.75, 7.0, 0]",49.8273811340332,0.0,40.74386978149414,1652802706734659840,
0,0.004,4,False,162,41,41,41,0,0,1,-284.9211264220511,14465,"[-9.75, 9.0, 0]",42.0756950378418,0.0,34.71974182128906,1652802742832513536,
0,0.004,4,False,118,42,42,42,0,0,1,-239.10046161839355,14583,"[-8.75, -7.25, 0]",39.36730194091797,0.0,26.835573196411133,1652802770579470080,
0,0.004,4,False,195,43,43,43,0,0,1,-316.63939337738145,14778,"[-7.25, 8.5, 0]",37.686546325683594,0.0,34.56673812866211,1652802806089305600,
0,0.004,4,False,183,44,44,44,0,0,1,-302.2761109884739,14961,"[7.0, 7.0, 0]",52.063392639160156,0.0,32.37668991088867,1652802839490855424,
0,0.004,4,False,261,45,45,45,0,0,1,-380.13795442969916,15222,"[-8.25, -7.75, 0]",57.64789581298828,0.0,44.20294189453125,1652802884549613568,
0,0.005,5,True,581,46,46,46,0,0,1,435.29322134047504,15803,"[9.0, -9.75, 0]",115.62251281738281,0.0,92.4229736328125,1652802977920163840,
0,0.005,5,False,114,47,47,47,0,0,1,-214.80315857776714,15917,"[10.5, -7.25, 0]",35.57692337036133,0.0,22.68648338317871,1652803001699341056,
0,0.006,6,True,213,48,48,48,0,0,1,798.6855986720532,16130,"[9.5, 8.5, 0]",56.40745162963867,0.0,38.409820556640625,1652803040974664960,
0,0.006,6,False,216,49,49,49,0,0,1,-344.6975025567658,16346,"[-10.75, 7.0, 0]",46.23832321166992,0.0,38.634822845458984,1652803080516333568,
0,0.006,6,False,189,50,50,50,0,0,1,-292.63255766365927,16535,"[-7.75, -7.75, 0]",40.78933334350586,0.0,34.722740173339844,1652803116105478144,
0,0.006,6,False,631,51,51,51,0,0,1,-754.5148602317781,17166,"[9.0, 9.5, 0]",178.6343231201172,0.0,111.34437561035156,1652803228334528256,
0,0.006,6,False,631,51,51,51,0,0,1,-754.5148602317781,17166,"[9.0, 9.5, 0]",178.6343231201172,0.0,111.34437561035156,1652803228334528256,
0,0.006,6,False,128,53,53,53,0,0,2,-344.5848724850298,17404,"[7.5, -8.75, 0]",39.12141418457031,0.0,26.502565383911133,1652803298047554304,
0,0.006,6,False,248,54,54,54,0,0,2,-352.085798835357,17652,"[7.5, -9.75, 0]",66.16676330566406,0.0,46.60899353027344,1652803345502764032,
0,0.006,6,False,366,55,55,55,0,0,2,-484.1629802065634,18018,"[-10.25, -10.75, 0]",95.10527801513672,0.0,66.76042175292969,1652803413128554240,
0,0.007,7,True,376,56,56,56,0,0,2,637.090598074285,18394,"[-7.25, 8.5, 0]",87.20389556884766,0.0,68.74346923828125,1652803482751414784,
0,0.008,8,True,225,57,57,57,0,0,2,784.2029586787131,18619,"[-10.75, -8.25, 0]",53.74397277832031,0.0,43.98394012451172,1652803527701198848,
0,0.008,8,False,239,58,58,58,0,0,2,-356.0867165083293,18858,"[9.5, 7.5, 0]",51.14569091796875,0.0,46.662994384765625,1652803575287722240,
0,0.008,8,False,218,59,59,59,0,0,2,-335.9290199440991,19076,"[-10.25, -7.75, 0]",54.091766357421875,0.0,43.458927154541016,1652803619614140928,
0,0.008,8,False,218,59,59,59,0,0,2,-335.9290199440991,19076,"[-10.25, -7.75, 0]",54.091766357421875,0.0,43.458927154541016,1652803619614140928,
0,0.008,8,False,225,61,61,61,0,0,3,-357.08377597717845,19328,"[-7.75, 8.0, 0]",68.39055633544922,0.0,44.78195571899414,1652803693751033088,
0,0.008,8,False,354,62,62,62,0,0,3,-457.9673603424983,19682,"[10.5, 9.0, 0]",86.64242553710938,0.0,67.59143829345703,1652803762238623744,
0,0.008,8,False,236,63,63,63,0,0,3,-347.0253487176358,19918,"[10.0, -8.75, 0]",48.386688232421875,0.0,47.25700759887695,1652803810466278400,
0,0.008,8,False,460,64,64,64,0,0,3,-583.664097665302,20378,"[7.0, 7.0, 0]",106.3835220336914,0.0,86.85485076904297,1652803898219017216,
0,0.008,8,False,187,65,65,65,0,0,3,-300.70460549205507,20565,"[8.5, -8.75, 0]",42.509334564208984,0.0,38.88383102416992,1652803938055652864,
0,0.008,8,False,199,66,66,66,0,0,3,-317.9773766354508,20764,"[10.5, 8.5, 0]",59.31801986694336,0.0,41.58088684082031,1652803980477062144,
0,0.009,9,True,54,67,67,67,0,0,3,958.009728188289,20818,"[7.0, -7.75, 0]",23.040998458862305,0.0,15.576332092285156,1652803996903743232,
0,0.009,9,False,177,68,68,68,0,0,3,-288.1473062643586,20995,"[-10.25, -7.25, 0]",57.7590446472168,0.0,38.15181350708008,1652804035900206336,
